FIFA Display Name,Spieler,Minutes_played,POS,DoB,Club,Club_Country,Club_Liga1,Nationalmannschaft,WM_Tore_NM,WM_Gegentore_NM,Tordifferenz,Gruppenphase_1,Gruppenphase_2,Gruppenphase_3,Punkte_Gruppenphase
Paul POGBA,POGBA,354,MF,15.03.93,Juventus FC,ITA,Serie A,France,8,2,6,3,3,1,7
Miroslav KLOSE,KLOSE,280,FW,09.06.78,SS Lazio,ITA,Serie A,Germany,7,2,5,3,1,3,7
Shkodran MUSTAFI,MUSTAFI,131,DF,17.04.92,UC Sampdoria,ITA,Serie A,Germany,7,2,5,3,1,3,7
Kwadwo ASAMOAH,K. ASAMOAH,270,MF,09.12.88,Juventus FC,ITA,Serie A,Ghana,4,6,-2,0,1,0,1
Sulley MUNTARI,MUNTARI,180,MF,27.08.84,AC Milan,ITA,Serie A,Ghana,4,6,-2,0,1,0,1
Emmanuel AGYEMANG BADU,A. BADU,102,MF,02.12.90,Udinese Calcio,ITA,Serie A,Ghana,4,6,-2,0,1,0,1
Michael ESSIEN,ESSIEN,19,MF,03.12.82,AC Milan,ITA,Serie A,Ghana,4,6,-2,0,1,0,1
Acquah AFRIYIE,ACQUAH,14,MF,01.05.92,Parma FC,ITA,Serie A,Ghana,4,6,-2,0,1,0,1
Vangelis MORAS,MORAS,0,DF,26.08.81,Hellas Verona FC,ITA,Serie A,Greece,2,4,-2,0,1,3,4
Panagiotis TACHTSIDIS,TACHTSIDIS,0,MF,15.02.91,Torino FC,ITA,Serie A,Greece,2,4,-2,0,1,3,4
VasileiosTOROSI DIS,TOROSIDIS,390,DF,10.06.85,AS Roma,ITA,Serie A,Greece,2,4,-2,0,1,3,4
loannis FETFATZIDIS,FETFATZIDIS,74,FW,21.12.90,Genoa CFC,ITA,Serie A,Greece,2,4,-2,0,1,3,4
Mattia PERIN,PERIN,0,GK,10.11.92,Genoa CFC,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Alberto AQUILANI,AQUILANI,0,MF,07.07.84,ACF Fiorentina,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Giorgio CHIELLINI,CHIELLINI,270,DF,14.08.84,Juventus FC,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Andrea BARZAGLI,BARZAGLI,270,DF,08.05.81,Juventus FC,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Andrea PIRLO,PIRLO,270,MF,19.05.79,Juventus FC,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Matteo DARM 1 AN,DARMIAN,270,DF,02.12.89,Torino FC,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Claudio MARCHISIO,MARCHISIO,218,MF,19.01.86,Juventus FC,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Mario BALOTELLI,BALOTELLI,209,FW,12.08.90,AC Milan,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Daniele DE ROSSI,DE ROSSI,180,MP,24.07.83,AS Roma,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Gianluigi BUFFON,BUFFON,180,GK,28.01.78,Juventus FC,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Antonio CANDREVA,CANDREVA,136,MF,28.02.87,SS Lazio,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Mattia DESCIGLIO,DE SCIGLIO,90,DF,20.10.92,AC Milan,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Ignazio ABATE,ABATE,90,DF,12.11.86,AC Milan,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Leonardo BONUCCI,BONUCCI,90,DF,01.05.87,Juventus FC,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Gabriel PALETTA,PALETTA,90,DF,15.02.86,Parma FC,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Ciro IMMOBILE,IMMOBILE,88,FW,20.02.90,Torino FC,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Antonio CASSANO,CASSANO,63,FW,12.07.82,Parma FC,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Marco PAROLO,PAROLO,55,MF,25.01.85,Parma FC,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Lorenzo INSIGNE,INSIGNE,33,FW,04.06.91,SSC Napoli,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Alessio CER CI,CERCI,21,FW,23.07.87,Torino FC,ITA,Serie A,Italy,2,4,-2,3,0,0,3
Keisuke HONDA,HONDA,270,FW,13.06.86,AC Milan,ITA,Serie A,Japan,2,6,-4,0,1,0,1
Yuto NAGATOMO,NAGATOMO,270,DF,12.09.86,FC Internazionale Milano,ITA,Serie A,Japan,2,6,-4,0,1,0,1
Nigel DEJONG,DE JONG,341,MF,30.11.84,AC Milan,ITA,Serie A,Netherlands,10,3,7,3,3,3,9
Ogenyi ONAZI,ONAZI,329,MF,25.12.92,SS Lazio,ITA,Serie A,Nigeria,3,3,0,1,3,0,4
Helder POSTIGA,H. POSTIGA,16,FW,02.08.82,SS Lazio,ITA,Serie A,Portugal,4,7,-3,0,1,3,4
Raul ALBIOL,R. ALBIOL,90,DF,04.09.85,SSC Napoli,ITA,Serie A,Spain,4,7,-3,0,0,3,3
Pepe REINA,REINA,90,GK,31.08.82,SSC Napoli,ITA,Serie A,Spain,4,7,-3,0,0,3,3
Reto ZIEGLER,ZIEGLER,0,DF,16.01.86,US Sassuolo,ITA,Serie A,Switzerland,7,6,1,3,0,3,6
Stephan LICHTSTEINER,LICHTSTEINER,390,DF,16.01.84,Juventus FC,ITA,Serie A,Switzerland,7,6,1,3,0,3,6
Gokhan INLER,INLER,390,MF,27.06.84,SSC Napoli,ITA,Serie A,Switzerland,7,6,1,3,0,3,6
Valon BEHRAMI,BEHRAMI,346,MF,19.04.85,SSC Napoli,ITA,Serie A,Switzerland,7,6,1,3,0,3,6
Blerim DZEMAILI,DZEMAILI,54,MF,12.04.86,SSC Napoli,ITA,Serie A,Switzerland,7,6,1,3,0,3,6
Martin CACERES,CACERES,360,DF,07.04.87,Juventus FC,ITA,Serie A,Uruguay,4,4,0,0,3,3,6
Alvaro GONZALEZ,A. GONZALEZ,266,MF,29.10.84,SS Lazio,ITA,Serie A,Uruguay,4,4,0,0,3,3,6
Walter GARGANO,GARGANO,60,MF,23.07.84,Parma FC,ITA,Serie A,Uruguay,4,4,0,0,3,3,6
Abel HERNANDEZ,HERNANDEZ,37,FW,08.08.90,US Citta di Palermo,ITA,Serie A,Uruguay,4,4,0,0,3,3,6
Djamel MESBAH,MESBAH,180,DF,09.10.84,AS Livorno,ITA,Serie B,Algeria,6,5,1,0,3,1,4
Mariano ANDUJAR,ANDUJAR,0,GK,30.07.83,Caldo Catania,ITA,Serie B,Argentina,6,3,3,3,3,3,9
Lazaros CHRISTODOULOPOULOS,LAZAROS,210,MF,19.12.86,Bologna FC,ITA,Serie B,Greece,2,4,-2,0,1,3,4
Panagiotis KONE,KONE,171,MF,26.07.87,Bologna FC,ITA,Serie B,Greece,2,4,-2,0,1,3,4
Diego PEREZ,D. PEREZ,0,MF,18.05.80,Bologna FC,ITA,Serie B,Uruguay,4,4,0,0,3,3,6
Madjid BOUGUERRA,BOUGUERRA,202,DF,07.10.82,Lekhwiya SC,QAT,Stars League,Algeria,6,5,1,0,3,1,4
Pejman MONTAZERI,MONTAZERI,270,DF,06.09.83,Umm Salal SC,QAT,Stars League,Iran,1,4,-3,1,0,0,1
Dario VIDOSIC,VIDOSIC,0,MF,08.04.87,FC Sion,SUI,Super League,Australia,3,9,-6,0,0,0,0
Oliver BOZANIC,BOZANIC,111,MF,08.01.89,FC Luzern,SUI,Super League,Australia,3,9,-6,0,0,0,0
Zvjezdan MISIMOVIC,MISIMOVIC,164,MF,05.06.82,Guizhou Renhe FC,CHN,Super League,Bosnia and Herzegovina,4,4,0,0,0,3,3
Marcelo DIAZ,DIAZ,390,MF,30.12.86,FC Basel,SUI,Super League,Chile,5,3,2,3,3,0,6
Joel CAMPBELL,CAMPBELL J.,415,FW,26.06.92,Olympiacos Piraeus FC,GRE,Super League,Costa Rica,4,1,3,3,3,1,7
Die SEREY,SEREY DIE,225,MF,07.11.84,FC Basel,SUI,Super League,Cote d'Ivoire,4,5,-1,3,0,0,3
Giovanni SIO,SIO,7,FW,31.03.89,FC Basel,SUI,Super League,Cote d'Ivoire,4,5,-1,3,0,0,3
Gordon SCHILDENFELD,SCHILDENFELD,0,DF,18.03.85,Panathinaikos FC,GRE,Super League,Croatia,6,4,2,0,3,0,3
Danijel PRANJIC,PRANJIC,164,DF,02.12.81,Panathinaikos FC,GRE,Super League,Croatia,6,4,2,0,3,0,3
Samuel INKOOM,INKOOM,0,DF,01.06.89,FC Platanias,GRE,Super League,Ghana,4,6,-2,0,1,0,1
Stefanos K API NO,KAPINO,0,GK,18.03.94,Panathinaikos FC,GRE,Super League,Greece,2,4,-2,0,1,3,4
GeorgiosTZAVELAS,TZAVELLAS,0,DF,26.11.87,PAOK FC,GRE,Super League,Greece,2,4,-2,0,1,3,4
Konstantinos MANOLAS,MANOLAS,390,DF,14.06.91,Olympiacos Piraeus FC,GRE,Super League,Greece,2,4,-2,0,1,3,4
Jose CHOLEVAS,CHOLEVAS,390,DF,27.06.84,Olympiacos Piraeus FC,GRE,Super League,Greece,2,4,-2,0,1,3,4
loannis MANIATIS,MANIATIS,348,MF,12.10.86,Olympiacos Piraeus FC,GRE,Super League,Greece,2,4,-2,0,1,3,4
Dimitrios SALPINGIDIS,SALPINGIDIS,225,FW,18.08.81,PAOK FC,GRE,Super League,Greece,2,4,-2,0,1,3,4
Konstantinos KATSOURANIS,KATSOURANIS,170,MF,21.06.79,PAOK FC,GRE,Super League,Greece,2,4,-2,0,1,3,4
Andreas SAMARIS,SAMARIS,136,MF,13.06.89,Olympiacos Piraeus FC,GRE,Super League,Greece,2,4,-2,0,1,3,4
Panagiotis GLYKOS,GLYKOS,66,GK,10.10.86,PAOK FC,GRE,Super League,Greece,2,4,-2,0,1,3,4
HADaesung,D S HA,0,MF,02.03.85,Beijing Guoan,CHN,Super League,Korea Republic,3,6,-3,1,0,0,1
PARK Jongwoo,J W PARK,0,MF,10.03.89,Guangzhou R&F FC,CHN,Super League,Korea Republic,3,6,-3,1,0,0,1
KIM Younggwon,Y G KIM,270,DF,27.02.90,Guangzhou Evergrande Taobao FC,CHN,Super League,Korea Republic,3,6,-3,1,0,0,1
Yann SOMMER,SOMMER,0,GK,17.12.88,FC Basel,SUI,Super League,Switzerland,7,6,1,3,0,3,6
Roman BUER Kl,BURKI,0,GK,14.11.90,Grasshopper Club,SUI,Super League,Switzerland,7,6,1,3,0,3,6
Fabian SCHAER,SCHAR,0,DF,20.12.91,FC Basel,SUI,Super League,Switzerland,7,6,1,3,0,3,6
Mario GAVRANOVIC,GAVRANOVIC,0,FW,24.11.89,FC Zürich,SUI,Super League,Switzerland,7,6,1,3,0,3,6
Steve VON BERGEN,VON BERGEN,99,DF,10.06.83,BSC Young Boys,SUI,Super League,Switzerland,7,6,1,3,0,3,6
Valentin STOCKER,STOCKER,46,MF,12.04.89,FC Basel,SUI,Super League,Switzerland,7,6,1,3,0,3,6
Michael LANG,LANG,13,DF,08.02.91,Grasshopper Club,SUI,Super League,Switzerland,7,6,1,3,0,3,6
Senijad IBRICIC,IBRICIC,0,MF,26.09.85,Kayseri Erciyesspor,TUR,Süper Lig,Bosnia and Herzegovina,4,4,0,0,0,3,3
Izet HAJROVIC,HAJROVIC,128,MF,04.08.91,Galatasaray SK,TUR,Süper Lig,Bosnia and Herzegovina,4,4,0,0,0,3,3
Haris MEDUNJANIN,MEDUNJANIN,80,MF,08.03.85,Gaziantepspor,TUR,Süper Lig,Bosnia and Herzegovina,4,4,0,0,0,3,3
Charles ITANDJE,ITANDJE,270,GK,02.11.82,Konyaspor,TUR,Süper Lig,Cameroon,1,9,-8,0,0,0,0
Aurelien CHEDJOU,CHEDJOU,136,DF,20.06.85,Galatasaray SK,TUR,Süper Lig,Cameroon,1,9,-8,0,0,0,0
Dany NOUNKEU,NOUNKEU,88,DF,11.04.86,Besiktas JK,TUR,Süper Lig,Cameroon,1,9,-8,0,0,0,0
Pierre WEBO,WEBO,49,FW,20.01.82,Fenerbahce SK,TUR,Süper Lig,Cameroon,1,9,-8,0,0,0,0
Ousmane DIARRASSOUBA,VIERA,0,DF,21.12.86,Caykur Rizespor,TUR,Süper Lig,Cote d'Ivoire,4,5,-1,3,0,0,3
Souleymane BAMBA,BAMBA,270,DF,13.01.85,Trabzonspor,TUR,Süper Lig,Cote d'Ivoire,4,5,-1,3,0,0,3
Didier ZOKORA,ZOKORA,180,DF,14.12.80,Trabzonspor,TUR,Süper Lig,Cote d'Ivoire,4,5,-1,3,0,0,3
Didier DROGBA,DROGBA,136,FW,11.03.78,Galatasaray SK,TUR,Süper Lig,Cote d'Ivoire,4,5,-1,3,0,0,3
Theofanis GEKAS,GEKAS,182,FW,23.05.80,Konyaspor,TUR,Süper Lig,Greece,2,4,-2,0,1,3,4
Wesley SNEIJDER,SNEIJDER,585,MF,09.06.84,Galatasaray SK,TUR,Süper Lig,Netherlands,10,3,7,3,3,3,9
Dirk KUYT,KUYT,509,FW,22.07.80,Fenerbahce SK,TUR,Süper Lig,Netherlands,10,3,7,3,3,3,9
Emmanuel EMENIKE,EMENIKE,360,FW,10.05.87,Fenerbahce SK,TUR,Süper Lig,Nigeria,3,3,0,1,3,0,4
Godfrey OBOABONA,OBOABONA,29,DF,16.09.90,Caykur Rizespor,TUR,Süper Lig,Nigeria,3,3,0,1,3,0,4
Bruno ALVES,B. ALVES,270,DF,27.11.81,Fenerbahce SK,TUR,Süper Lig,Portugal,4,7,-3,0,1,3,4
Raul MEIRELES,R. MEIRELES,159,MF,17.03.83,Fenerbahce SK,TUR,Süper Lig,Portugal,4,7,-3,0,1,3,4
Hugo ALMEIDA,H. ALMEIDA,28,FW,23.05.84,Besiktas JK,TUR,Süper Lig,Portugal,4,7,-3,0,1,3,4
Fernando MUSLERA,MUSLERA,360,GK,16.06.86,Galatasaray SK,TUR,Süper Lig,Uruguay,4,4,0,0,3,3,6
Jermaine JONES,JONES,390,MF,03.11.81,Besiktas JK,TUR,Süper Lig,USA,4,4,0,3,1,0,4
Edin VISCA,VISCA,25,FW,17.02.90,Istanbul BBSK,TUR,Süper Lig,Bosnia and Herzegovina,4,4,0,0,0,3,3
Teofilo GUTIERREZ,TEO,304,FW,17.05.85,CA River Plate,ARG,Primera Division,Colombia,9,2,7,3,3,3,9
Eder BALANTA,BALANTA,90,DF,28.02.93,CA River Plate,ARG,Primera Division,Colombia,9,2,7,3,3,3,9
Carlos VALDES,VALDES,90,DF,22.05.85,CA San Lorenzo de Amagro,ARG,Primera Division,Colombia,9,2,7,3,3,3,9
Carlos CARBONERO,C. CARBONERO,44,MF,25.07.90,CA River Plate,ARG,Primera Division,Colombia,9,2,7,3,3,3,9
Diego CALVO,CALVO D.,0,MF,25.03.91,Valerenga IF,NOR,Eliteserien ,Costa Rica,4,1,3,3,3,1,7
Cristian GAMBOA,GAMBOA C.,426,DF,24.10.89,Rosenborg BK,NOR,Eliteserien ,Costa Rica,4,1,3,3,3,1,7
Michael BARRANTES,BARRANTES M.,13,MF,04.10.83,Aalesunds FK,NOR,Eliteserien ,Costa Rica,4,1,3,3,3,1,7
Sayouba MANDE,M. SAYOUBA,0,GK,15.06.93,Stabaek IF,NOR,Eliteserien ,Cote d'Ivoire,4,5,-1,3,0,0,3
Adam KWARASEY,KWARASEY,90,GK,12.12.87,Stromsgodset IF,NOR,Eliteserien ,Ghana,4,6,-2,0,1,0,1
Mix DISKERUD,DISKERUD,0,MF,02.10.90,Rosenborg BK,NOR,Eliteserien ,USA,4,4,0,3,1,0,4
Jasper CILLESSEN,CILLESSEN,690,GK,22.04.89,AFC,NED,Topklasse Division Zondag,Netherlands,10,3,7,3,3,3,9
Daniel CAMBRONERO,CAMBRONERO D.,0,GK,08.01.86,CS Herediano,CRC,Primera Division,Costa Rica,4,1,3,3,3,1,7
Heiner MORA,MORAH,0,DF,20.06.84,Deportivo Saprissa,CRC,Primera Division,Costa Rica,4,1,3,3,3,1,7
Oscar GRAN ADOS,GRANADOS O.,0,MF,25.10.85,CS Herediano,CRC,Primera Division,Costa Rica,4,1,3,3,3,1,7
Michael UMANA,UMANA M.,420,DF,16.07.82,Deportivo Saprissa,CRC,Primera Division,Costa Rica,4,1,3,3,3,1,7
Yeltsin TEJEDA,TEJEDA Y.,395,MF,17.03.92,Deportivo Saprissa,CRC,Primera Division,Costa Rica,4,1,3,3,3,1,7
Jose CUBERO,CUBERO J.,115,MF,14.02.87,CS Herediano,CRC,Primera Division,Costa Rica,4,1,3,3,3,1,7
Randall BRENES,BRENES R.,105,FW,13.08.83,CSD Cartagines,CRC,Primera Division,Costa Rica,4,1,3,3,3,1,7
